+------------+------------------+-------------+-------------------+------------------+-------------+-------------+---------------+
| payment_no | payment_due_date | payment_due | payment_principle | payment_interest | payment_gst | new_balance | payment_total |
|        221 |       2035-01-30 |      911.96 |            825.52 |            86.44 |      103.19 |    16491.78 |       1015.15 |
|        222 |       2035-02-28 |      911.96 |            829.64 |            82.32 |      103.71 |    15662.14 |       1015.67 |
|        223 |       2035-03-30 |      911.96 |            833.78 |            78.18 |      104.22 |    14828.36 |       1016.19 |
|        224 |       2035-04-30 |      911.96 |            837.94 |            74.02 |      104.74 |    13990.41 |       1016.71 |
|        225 |       2035-05-30 |      911.96 |            842.13 |            69.84 |      105.27 |    13148.28 |       1017.23 |
|        226 |       2035-06-30 |      911.96 |            846.33 |            65.63 |      105.79 |    12301.95 |       1017.75 |
|        227 |       2035-07-30 |      911.96 |            850.56 |            61.41 |      106.32 |    11451.40 |       1018.28 |
|        228 |       2035-08-30 |      911.96 |            854.80 |            57.16 |      106.85 |    10596.60 |       1018.81 |
|        229 |       2035-09-30 |      911.96 |            859.07 |            52.89 |      107.38 |     9737.53 |       1019.35 |
|        230 |       2035-10-30 |      911.96 |            863.36 |            48.61 |      107.92 |     8874.17 |       1019.88 |
|        231 |       2035-11-30 |      911.96 |            867.67 |            44.30 |      108.46 |     8006.51 |       1020.42 |
|        232 |       2035-12-30 |      911.96 |            872.00 |            39.97 |      109.00 |     7134.51 |       1020.96 |
|        233 |       2036-01-30 |      911.96 |            876.35 |            35.61 |      109.54 |     6258.16 |       1021.51 |
|        234 |       2036-02-29 |      911.96 |            880.72 |            31.24 |      110.09 |     5377.44 |       1022.05 |
|        235 |       2036-03-30 |      911.96 |            885.12 |            26.84 |      110.64 |     4492.32 |       1022.60 |
|        236 |       2036-04-30 |      911.96 |            889.54 |            22.42 |      111.19 |     3602.78 |       1023.15 |
|        237 |       2036-05-30 |      911.96 |            893.98 |            17.98 |      111.75 |     2708.80 |       1023.71 |
|        238 |       2036-06-30 |      911.96 |            898.44 |            13.52 |      112.31 |     1810.36 |       1024.27 |
|        239 |       2036-07-30 |      911.96 |            902.93 |             9.04 |      112.87 |      907.43 |       1024.83 |
|        240 |       2036-08-30 |      911.96 |            907.43 |             4.53 |      113.43 |        0.00 |       1025.39 |
+------------+------------------+-------------+-------------------+------------------+-------------+-------------+---------------+

